# Solution to run  11
 15.40,427.1771,50231.8350,  8.8774,  1.5061
 15.50,432.3079,50604.9318,  8.4486,  1.5033
 15.60,437.4618,50963.7652,  8.0147,  1.5002
 15.70,442.6380,51307.6923,  7.5758,  1.4967
 15.80,447.8360,51636.0598,  7.1319,  1.4927
 15.90,453.0551,51948.2044,  6.6829,  1.4881
 16.00,458.2946,52243.4535,  6.2289,  1.4828
 16.10,463.5537,52521.1264,  5.7698,  1.4765
 16.20,468.8315,52780.5359,  5.3059,  1.4692
 16.30,474.1270,53020.9906,  4.8370,  1.4603
 16.40,479.4388,53241.7981,  4.3635,  1.4494
 16.50,484.7656,53442.2706,  3.8853,  1.4358
 16.60,490.1053,53621.7334,  3.4029,  1.4183
 16.70,495.4551,53779.5406,  2.9167,  1.3950
 16.80,500.8108,53915.1032,  2.4276,  1.3627
 16.90,506.1651,54027.9466,  1.9375,  1.3153
 17.00,511.5043,54117.8371,  1.4500,  1.2402
 17.10,516.7972,54185.0959,  0.9747,  1.1100
 17.20,521.9638,54231.4268,  0.5384,  0.8676
 17.30,526.8178,54261.6439,  0.2101,  0.4796
 17.40,531.2081,54283.7296,  0.0550,  0.1543
 17.50,535.3126,54303.4982,  0.0116,  0.0348
 17.60,539.3315,54322.7916,  0.0023,  0.0070
 17.70,543.3310,54341.9897,  0.0004,  0.0013
 17.80,547.3262,54361.1665,  0.0001,  0.0002
 17.90,551.3200,54380.3366,  0.0000,  0.0000
 18.00,555.3129,54399.5027,  0.0000,  0.0000
 18.10,559.3051,54418.6653,  0.0000,  0.0000
 18.20,563.2966,54437.8245,  0.0000,  0.0000
 18.30,567.2874,54456.9804,  0.0000,  0.0000
 18.40,571.2775,54476.1329,  0.0000,  0.0000
 18.50,575.2669,54495.2820,  0.0000,  0.0000
 18.60,579.2556,54514.4277,  0.0000,  0.0000
 18.70,583.2436,54533.5701,  0.0000,  0.0000
 18.80,587.2309,54552.7091,  0.0000,  0.0000
 18.90,591.2175,54571.8448,  0.0000,  0.0000
 19.00,595.2034,54590.9771,  0.0000,  0.0000
 19.10,599.1886,54610.1060,  0.0000,  0.0000
 19.20,603.1731,54629.2317,  0.0000,  0.0000
 19.30,607.1569,54648.3539, -0.0000, -0.0000
 19.40,611.1400,54667.4728,  0.0000,  0.0000
 19.50,615.1224,54686.5884,  0.0000,  0.0000
 19.60,619.1042,54705.7006,  0.0000,  0.0000
 19.70,623.0852,54724.8095, -0.0000, -0.0000
 19.80,627.0655,54743.9151, -0.0000, -0.0000
 19.90,631.0451,54763.0173, -0.0000, -0.0000
 20.00,635.0241,54782.1162,  0.0000,  0.0000
 20.10,639.0023,54801.2118,  0.0000,  0.0000
 20.20,642.9799,54820.3040,  0.0000,  0.0000
 20.30,646.9567,54839.3929,  0.0000,  0.0000
 20.40,650.9329,54858.4785,  0.0000,  0.0000
 20.50,654.9084,54877.5608,  0.0000,  0.0000
 20.60,658.8831,54896.6398,  0.0000,  0.0000
 20.70,662.8572,54915.7154,  0.0000,  0.0000
 20.80,666.8306,54934.7877,  0.0000,  0.0000
 20.90,670.8034,54953.8568,  0.0000,  0.0000
 21.00,674.7754,54972.9225,  0.0000,  0.0000
 21.10,678.7467,54991.9849,  0.0000,  0.0000
 21.20,682.7174,55011.0440,  0.0000,  0.0000
 21.30,686.6873,55030.0998, -0.0000,  0.0000
 21.40,690.6566,55049.1524,  0.0000, -0.0000
 21.50,694.6252,55068.2017,  0.0000, -0.0000
 21.60,698.5931,55087.2477,  0.0000, -0.0000
 21.70,702.5603,55106.2904,  0.0000, -0.0000
 21.80,706.5269,55125.3298,  0.0000, -0.0000
 21.90,710.4927,55144.3659,  0.0000, -0.0000
 22.00,714.4579,55163.3987,  0.0000, -0.0000
 22.10,718.4224,55182.4283,  0.0000, -0.0000
 22.20,722.3862,55201.4545,  0.0000, -0.0000
 22.30,726.3493,55220.4775,  0.0000,  0.0000
 22.40,730.3118,55239.4971,  0.0000,  0.0000
 22.50,734.2735,55258.5135,  0.0000,  0.0000
 22.60,738.2346,55277.5267,  0.0000,  0.0000
 22.70,742.1950,55296.5367,  0.0000,  0.0000
 22.80,746.1547,55315.5434,  0.0000,  0.0000
 22.90,750.1138,55334.5468,  0.0000,  0.0000
 23.00,754.0721,55353.5470,  0.0000,  0.0000
 23.10,758.0298,55372.5439,  0.0000,  0.0000
 23.20,761.9868,55391.5375,  0.0000,  0.0000
 23.30,765.9432,55410.5278,  0.0000,  0.0000
 23.40,769.8988,55429.5149,  0.0000, -0.0000
 23.50,773.8538,55448.4988,  0.0000, -0.0000
 23.60,777.8080,55467.4793,  0.0000, -0.0000
 23.70,781.7616,55486.4566,  0.0000, -0.0000
 23.80,785.7145,55505.4301,  0.0000, -0.0000
 23.90,789.6668,55524.4012,  0.0000, -0.0000
 24.00,793.6184,55543.3690,  0.0000, -0.0000
 24.10,797.5693,55562.3335,  0.0000, -0.0000
 24.20,801.5196,55581.2948,  0.0000, -0.0000
 24.30,805.4692,55600.2528,  0.0000, -0.0000
 24.40,809.4181,55619.2075,  0.0000, -0.0000
 24.50,813.3663,55638.1590,  0.0000, -0.0000
 24.60,817.3139,55657.1073,  0.0000, -0.0000
 24.70,821.2608,55676.0523,  0.0000,  0.0000
 24.80,825.2069,55694.9940,  0.0000,  0.0000
 24.90,829.1525,55713.9325,  0.0000,  0.0000
 25.00,833.0973,55732.8678, -0.0000,  0.0000
 25.10,837.0415,55751.7999, -0.0000,  0.0000
 25.20,840.9850,55770.7288, -0.0000,  0.0000
 25.30,844.9279,55789.6545, -0.0000,  0.0000
 25.40,848.8701,55808.5770, -0.0000,  0.0000
 25.50,852.8116,55827.4962, -0.0000,  0.0000
 25.60,856.7524,55846.4123, -0.0000,  0.0000
 25.70,860.6926,55865.3251, -0.0000,  0.0000
